action,description,mean_layers,std_layers,max_layers,min_layers,total_activations
emotion_management,regulating emotions in self/others,6.71822358346095,4.271088233740119,16,1,653
concretizing,making abstract concepts concrete and specific,6.121739130434783,4.576210367023289,16,1,115
suspending_judgment,suspending judgment and staying with uncertainty,5.666666666666667,3.6817870057290873,10,1,3
questioning,questioning an assumption or belief,5.258064516129032,4.47808199720794,16,1,217
hypothesis_generation,generating possible explanations,5.0633608815427,3.3334198472483143,15,1,363
self_questioning,interrogating one's own understanding,4.504918032786885,4.187507816660507,16,1,305
divergent_thinking,generating multiple creative solutions,4.383620689655173,4.342481492337772,16,1,232
emotion_valuing,attaching worth to emotional experiences,4.30801687763713,3.7689127957757798,16,1,237
emotion_organizing,integrating conflicting emotions,4.2889733840304185,3.8881892052560323,16,1,263
metacognitive_regulation,adjusting thinking strategies,3.676579925650558,3.3388901688430876,14,1,269
evaluating,making judgments about value or effectiveness,3.606707317073171,2.619267983234102,11,1,328
counterfactual_reasoning,engaging in 'what if' thinking,3.5894736842105264,3.625914728413857,16,1,95
attentional_deployment,directing attention for emotional regulation,3.55045871559633,3.4970137680837285,16,1,218
remembering,recalling relevant information or experiences,3.463768115942029,3.2994497132094462,16,1,69
emotion_characterizing,aligning emotions with core values,3.4479166666666665,3.1164988535481073,16,1,288
situation_selection,choosing emotional contexts deliberately,3.4142011834319526,3.1123022901582105,15,1,169
analogical_thinking,drawing analogies between domains,3.3956043956043955,3.8938642093503724,16,1,91
analyzing,breaking down into components,3.252032520325203,3.161232382759011,16,1,123
convergent_thinking,finding the single best solution,3.1032258064516127,2.8082233932560996,14,1,155
emotional_reappraisal,reinterpreting emotional meaning,3.0555555555555554,3.367693279485434,15,1,90
accepting,accepting and letting go of control,2.9186046511627906,2.8086871727547322,15,1,86
emotion_perception,identifying emotions in self/others,2.8376068376068377,2.4124224976072894,13,1,234
abstracting,abstracting from specifics to general patterns,2.810810810810811,2.2158865938129333,8,1,37
distinguishing,distinguishing between previously conflated concepts,2.7241379310344827,2.5850572157229394,11,1,29
pattern_recognition,recognizing recurring patterns across situations,2.6588235294117646,2.683513680744051,15,1,170
meta_awareness,reflecting on one's own thinking process,2.6129032258064515,2.6721674101848687,11,1,31
zooming_in,zooming in on specific details,2.608695652173913,1.6872702532115005,7,1,23
reframing,reframing a situation or perspective,2.6,2.6297443897754693,16,1,225
metacognitive_monitoring,tracking one's own comprehension,2.4927007299270074,2.7006929372097,16,1,274
emotion_responding,actively engaging with emotions,2.3416856492027334,1.8316050646983586,10,1,439
perspective_taking,taking another's perspective or temporal view,2.25,1.299038105676658,4,1,4
emotion_facilitation,using emotions to enhance thinking,2.1923076923076925,1.73247778916234,7,1,26
emotion_understanding,comprehending emotional complexity,2.1702127659574466,2.0764038976605703,10,1,47
reconsidering,reconsidering a belief or decision,2.103448275862069,1.3981472367388477,5,1,29
zooming_out,zooming out for broader context,2.073170731707317,1.7538377510561076,11,1,123
response_modulation,modifying emotional expression,2.0516129032258066,1.7294173860920268,9,1,155
updating_beliefs,updating mental models or beliefs,2.017543859649123,1.9689807503997474,9,1,57
applying,using knowledge in new situations,1.99009900990099,1.926855795726233,12,1,101
noticing,"noticing a pattern, feeling, or dynamic",1.9807692307692308,1.5253043153541097,8,1,52
connecting,connecting disparate ideas or experiences,1.95,1.8020821290940099,7,1,20
cognition_awareness,becoming aware and comprehending,1.86,1.3417898494175604,5,1,50
situation_modification,changing circumstances to regulate emotion,1.8598130841121496,1.5734277013633613,10,1,107
emotion_receiving,becoming aware of emotions,1.6666666666666667,1.239875282184828,8,1,219
creating,generating new ideas or solutions,1.6589147286821706,1.2728295039859714,8,1,129
understanding,interpreting and explaining meaning,1.646153846153846,1.6680782976528983,13,1,65
