action,description,mean_sentiment,std_sentiment,count,positive_ratio,negative_ratio
suspending_judgment,suspending judgment and staying with uncertainty,3.2369791666666665,1.5273698358457224,3,1.0,0.0
accepting,accepting and letting go of control,2.28406613372093,1.043435560157321,86,0.9534883720930233,0.046511627906976744
emotion_management,regulating emotions in self/others,2.2489352029096477,1.368919027324905,653,0.9234303215926493,0.07656967840735068
metacognitive_regulation,adjusting thinking strategies,2.0758451440520447,1.6050909796353252,269,0.8884758364312267,0.11152416356877323
reframing,reframing a situation or perspective,1.8874305555555555,1.5780033714665382,225,0.8977777777777778,0.10222222222222223
emotion_characterizing,aligning emotions with core values,1.8519558376736112,1.7218829964586289,288,0.84375,0.15625
situation_modification,changing circumstances to regulate emotion,1.7507666471962617,1.6440593607873326,107,0.8785046728971962,0.12149532710280374
metacognitive_monitoring,tracking one's own comprehension,1.722884352189781,1.8652919156618957,274,0.8211678832116789,0.17883211678832117
emotion_organizing,integrating conflicting emotions,1.708813569391635,1.8612612244354292,263,0.8250950570342205,0.17490494296577946
connecting,connecting disparate ideas or experiences,1.6505859375,0.9595768719244562,20,0.95,0.05
pattern_recognition,recognizing recurring patterns across situations,1.4717601102941176,2.0437827901404764,170,0.7705882352941177,0.22941176470588234
emotion_facilitation,using emotions to enhance thinking,1.4343449519230769,1.5105404446942654,26,0.8076923076923077,0.19230769230769232
updating_beliefs,updating mental models or beliefs,1.3846628289473684,1.9038229322312257,57,0.7719298245614035,0.22807017543859648
emotion_understanding,comprehending emotional complexity,1.299534574468085,1.9694322727808884,47,0.7872340425531915,0.2127659574468085
perspective_taking,taking another's perspective or temporal view,1.1875,1.4106376861691399,4,0.75,0.25
situation_selection,choosing emotional contexts deliberately,1.075212647928994,1.970417761211852,169,0.727810650887574,0.27218934911242604
applying,using knowledge in new situations,0.9982595915841584,2.058464580360712,101,0.693069306930693,0.3069306930693069
concretizing,making abstract concepts concrete and specific,0.8611413043478261,2.18442647550978,115,0.6608695652173913,0.3391304347826087
attentional_deployment,directing attention for emotional regulation,0.84765625,2.236245611947284,218,0.6651376146788991,0.3348623853211009
emotion_perception,identifying emotions in self/others,0.8410456730769231,2.459793576850325,234,0.5982905982905983,0.4017094017094017
abstracting,abstracting from specifics to general patterns,0.7827280405405406,2.146166903526048,37,0.6486486486486487,0.35135135135135137
analyzing,breaking down into components,0.530201981707317,2.5169456767956864,123,0.5691056910569106,0.43089430894308944
divergent_thinking,generating multiple creative solutions,0.28732825969827586,2.280043959674876,232,0.5775862068965517,0.4224137931034483
response_modulation,modifying emotional expression,0.1902469758064516,2.4090801285680743,155,0.5483870967741935,0.45161290322580644
creating,generating new ideas or solutions,0.025648013565891473,2.3634391736907854,129,0.5193798449612403,0.4806201550387597
emotional_reappraisal,reinterpreting emotional meaning,-0.15889756944444444,2.3599273742146054,90,0.5333333333333333,0.4666666666666667
emotion_responding,actively engaging with emotions,-0.31340760250569477,2.4399496459201337,439,0.38724373576309795,0.6127562642369021
emotion_receiving,becoming aware of emotions,-0.3221496860730594,2.490928831830139,219,0.3926940639269406,0.6073059360730594
noticing,"noticing a pattern, feeling, or dynamic",-0.34720552884615385,2.7679949024154933,52,0.36538461538461536,0.6346153846153846
remembering,recalling relevant information or experiences,-0.5,2.5032188149610857,69,0.391304347826087,0.6086956521739131
distinguishing,distinguishing between previously conflated concepts,-0.5363685344827587,2.1675849117163146,29,0.41379310344827586,0.5862068965517241
convergent_thinking,finding the single best solution,-0.5946320564516129,2.277527850429653,155,0.3419354838709677,0.6580645161290323
meta_awareness,reflecting on one's own thinking process,-0.6587701612903226,2.4417993732657526,31,0.3225806451612903,0.6774193548387096
evaluating,making judgments about value or effectiveness,-0.7178091653963414,2.2495787515420496,328,0.31097560975609756,0.6890243902439024
reconsidering,reconsidering a belief or decision,-0.8038793103448276,2.252087177760093,29,0.3103448275862069,0.6896551724137931
emotion_valuing,attaching worth to emotional experiences,-0.8934763976793249,2.2431569574016623,237,0.3037974683544304,0.6962025316455697
zooming_out,zooming out for broader context,-1.1412284044715446,2.251180532147133,123,0.2601626016260163,0.7398373983739838
hypothesis_generation,generating possible explanations,-1.223463326446281,2.0698770745797725,363,0.22589531680440772,0.7741046831955923
understanding,interpreting and explaining meaning,-1.4179086538461538,2.137954153509669,65,0.16923076923076924,0.8307692307692308
analogical_thinking,drawing analogies between domains,-1.523652129120879,1.7664994790350188,91,0.17582417582417584,0.8241758241758241
cognition_awareness,becoming aware and comprehending,-1.566171875,1.9603619688905072,50,0.18,0.82
questioning,questioning an assumption or belief,-1.646961405529954,1.7198826564045226,217,0.1336405529953917,0.8663594470046083
counterfactual_reasoning,engaging in 'what if' thinking,-1.6676809210526315,1.9059907376426946,95,0.15789473684210525,0.8421052631578947
self_questioning,interrogating one's own understanding,-1.8462218237704917,1.4666748096851734,305,0.07868852459016394,0.921311475409836
zooming_in,zooming in on specific details,-1.9925271739130435,1.5603491960877498,23,0.08695652173913043,0.9130434782608695
